127.0.0.1 - - [11/Sep/2015:16:37:52 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:29 -0300] "GET /LojaVirtual HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:29 -0300] "GET /LojaVirtual HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:29 -0300] "GET /LojaVirtual/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:30 -0300] "GET /LojaVirtual/Login.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:30 -0300] "GET /LojaVirtual/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:31 -0300] "GET /LojaVirtual/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:31 -0300] "GET /LojaVirtual/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:31 -0300] "GET /LojaVirtual/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:31 -0300] "GET /LojaVirtual/imagens/imgPrincipal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:31 -0300] "GET /LojaVirtual/js/Login.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:32 -0300] "GET /LojaVirtual/Login.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:33 -0300] "GET /LojaVirtual/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:33 -0300] "GET /LojaVirtual/js/Login.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:34 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "POST /LojaVirtual/ControllerLoginDao HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "GET /LojaVirtual/css/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "GET /LojaVirtual/js/jquery.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "GET /LojaVirtual/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "GET /LojaVirtual/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:38:47 -0300] "GET /LojaVirtual/fonts/glyphicons-halflings-regular.svg HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:39:27 -0300] "POST /LojaVirtual/ControllerLoginDao HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:39:29 -0300] "GET /LojaVirtual/Login.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [11/Sep/2015:16:39:29 -0300] "GET /LojaVirtual/js/bootstrap.min.js HTTP/1.1" 200 35951
